SN,Setting1,Setting2,Setting3,Setting4,Setting5,BDate,FileDate,TUT,Hrs/Day,NormDist x Values,NormDist y Values
11136000003051,0.592857202,0.14429711,0.167150982,0.050122612,0.045572319,8/22/2015,8/19/2017,1236.855833,1.698977793,433.4615385,0.001935881
11136000003054,0.001478613,0.985467091,0.010334437,1.24358E-06,0.00271846,8/22/2015,10/7/2016,1786.959722,4.337280879,436.6025641,0.001939856
11136000003067,0.006004133,0.980050134,0.010658164,5.5265E-05,0.003232504,8/22/2015,7/13/2017,1392.281667,2.014879402,439.7435897,0.001943378
11136000003072,0.000507792,0.00153724,0.095081184,0.894373142,0.008500641,8/22/2015,10/27/2017,1182.133056,1.483228426,442.8846154,0.001946446
11136000003079,0.005338404,0.864343827,0.12839832,5.35291E-05,0.001865575,8/24/2015,9/20/2017,804.3394444,1.061133832,446.025641,0.001949056
11136000003086,0.009464435,0.24133219,0.29056547,0.292411223,0.166226023,8/24/2015,1/24/2017,420.7858333,0.810762685,449.1666667,0.001951208
11136000003089,0.002095842,0.06782534,0.794122231,0.126619233,0.009336969,8/24/2015,12/12/2017,720.0766667,0.856214824,452.3076923,0.001952899
11136000003096,0.010033582,0.7762729,0.174060662,0.003234916,0.03639794,8/24/2015,11/10/2016,67.57861111,0.152204079,455.4487179,0.001954128
11136000003103,0.019207279,0.336541941,0.629904255,0.00169509,0.012652503,8/26/2015,3/15/2018,519.6380556,0.557551562,458.5897436,0.001954895
11136000003108,0.454159138,0.509075743,0.027217728,0.001457197,0.00808979,,5/13/2016,687.0113889,#N/A,461.7307692,0.001955199
11136000003111,0.00099009,0.402315901,0.587222495,0.004289078,0.005182873,8/26/2015,11/16/2017,634.6222222,0.780593139,464.8717949,0.001955039
11136000003112,0.000719173,0.925445948,0.072113301,7.52273E-07,0.001721201,8/26/2015,1/22/2018,738.5022222,0.839207071,468.0128205,0.001954416
11136000003128,0.002085473,0.009552742,0.613397191,0.232166449,0.142799226,8/27/2015,11/20/2017,256.9361111,0.314872685,471.1538462,0.001953331
11136000003137,0.014607684,0.122560954,0.43068441,0.41600286,0.016150001,8/27/2015,11/26/2017,94.01444444,0.114372803,474.2948718,0.001951783
11136000003138,0.012523509,0.779132567,0.183937376,0.006191227,0.018216591,8/27/2015,11/8/2017,218.5888889,0.271876727,477.4358974,0.001949775
11136000003144,0.001512153,0.098933474,0.315684222,0.574529808,0.009339936,8/27/2015,11/27/2017,682.4338889,0.829202781,480.5769231,0.001947307
11136000003156,0.027146106,0.036962083,0.853776849,0.036279259,0.045835702,8/27/2015,3/1/2018,89.90444444,0.098041924,483.7179487,0.001944382
11136000003158,0.010920938,0.938932818,0.027896685,0.004373116,0.017878814,8/28/2015,5/13/2016,234.3866667,0.904967825,486.8589744,0.001941
11136000003159,0.017142474,0.172692766,0.773802762,0.007557863,0.028802039,4/18/2016,7/17/2017,132.5330556,0.291281441,490,0.001937166
11136000003167,0.009124515,0.28594247,0.695241749,0.000713451,0.008976904,8/28/2015,7/17/2017,304.8563889,0.442462103,493.1410256,0.001932881
11136000003172,0.046702924,0.320909258,0.61731555,0.007019306,0.008052489,8/28/2015,8/16/2017,586.9130556,0.816290759,496.2820513,0.001928149
11136000003181,0.858731511,0.093980984,0.040876176,1.97515E-06,0.006408861,,8/7/2017,562.5458333,#N/A,499.4230769,0.001922972
11136000003182,0.003162803,0.971943345,0.013389839,0.003473635,0.008033583,8/28/2015,7/7/2016,173.3694444,0.552131989,502.5641026,0.001917355
11136000003185,1.0463E-06,0.001494109,0.994254794,5.92901E-06,0.004243773,,5/3/2018,796.4611111,#N/A,505.7051282,0.001911301
11136000003200,0.003407388,0.076435089,0.257296401,0.6552927,0.007568268,9/3/2015,4/6/2018,1799.031944,1.9017251,508.8461538,0.001904815
11136000003203,0.005461271,0.904967432,0.048346044,0.023500653,0.017723941,9/3/2015,6/3/2016,421.8086111,1.539447486,511.9871795,0.001897901
11136000003207,0.153355763,0.163162073,0.626153568,0.02276479,0.034571667,9/3/2015,3/1/2018,70.67444444,0.077664225,515.1282051,0.001890564
11136000003209,0.001663775,0.287167909,0.153477152,0.549456698,0.008233935,9/3/2015,11/21/2016,523.2411111,1.175822722,518.2692308,0.00188281
11136000003226,0.002516358,0.354396487,0.631948673,4.99804E-05,0.011087481,,7/8/2016,272.3291667,#N/A,521.4102564,0.001874642
11136000003231,0.019064612,0.284731964,0.609981733,0.073535798,0.012685342,9/4/2015,12/14/2016,504.7163889,1.080763145,524.5512821,0.001866068
11136000003232,0.037275294,0.642558496,0.285229143,0.012806197,0.022129256,9/4/2015,9/25/2017,344.2777778,0.457816194,527.6923077,0.001857093
11136000003233,0.005212209,0.032455677,0.918122898,0.001223075,0.042984374,9/4/2015,1/30/2018,157.1630556,0.17879756,530.8333333,0.001847724
11136000003240,0.139557384,0.396822429,0.427120162,0.024227849,0.012271015,9/4/2015,3/28/2018,478.3177778,0.511023267,533.974359,0.001837965
